"Chemical","CASRN","100-WB","102-WB","104-WB","105-WB","106-WB","117-WB","119-WB","122-WB","123-WB","124-WB","130-WB","131-WB","132-WB","134-WB","135-WB","140-WB","144-WB","145-WB","147-WB","150-WB","153-WB","154-WB","156-WB","157-WB","161-WB","165-WB","166-WB","167-WB","168-WB","169-WB","173-WB","179-WB","180-WB","188-WB","190-WB","191-WB","25-WB","26-WB","27-WB","29-WB","31-WB","33-WB","34-WB","36-WB","40-WB","42-WB","45-WB","48-WB","51-WB","52-WB","53-WB","54-WB","56-WB","57-WB","60-WB","62-WB","63-WB","64-WB","65-WB","67-WB","68-WB","72-WB","73-WB","74-WB","75-WB","76-WB","80-WB","82-WB","85-WB","90-WB","96-WB"
"1-Methylnaphthalene","90-12-0",3.06,0,0,0,2.93,0,3.6,0.903,0,0,3.69,3.09,1.63,5.4,1.89,2.66,0,2.77,9.17,7.58,3.39,8.92,9.03,0,4.29,0,3.66,0,0,10.9,0,1.61,1.32,2.53,0,2.27,0,2.48,2.28,0,2.94,4.74,0,0,0,2.24,0,0,0,0,2.7,1.31,6.79,0,0,0,4.51,0,3.61,4.06,2.03,0,5.99,1.55,0,1.93,0,4.18,0,4.74,0
"1-Methylpyrene","2381-21-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Dimethylnaphthalene","573-98-8",0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,6-Dimethylnaphthalene","575-43-9",0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Benzothiazolyl sulfide","4074-77-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Isopropylphenol","88-69-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Methylphenanthrene","2531-84-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol","2772-45-4",0,0,0,42.4,0,0,11.6,11.7,0,14.6,18.9,0,0,0,0,7.52,0,0,11.2,0,10.6,0,0,23.6,0,107,11.7,0,0,0,0,0,4.98,0,0,0,45.1,15.6,0,6.85,8.08,18.7,5.64,0,0,0,0,0,0,0,0,0,63.9,0,0,0,40.6,0,0,0,0,15.5,0,0,0,9.26,0,8.99,0,21.9,0
"2,4-Di-tert-butylphenol","96-76-4",14.8,4.29,16.6,22.1,150,4.31,36,14.4,42,65,0.651,21.2,12.3,139,18.9,55.3,34.8,27.7,45.8,32.2,0,75.9,70,9.46,0.451,22.3,0,4.91,41,32.2,14.2,20.5,8.5,0,45.8,64.7,76.7,108,135,24.1,56.9,20.3,27.8,7.37,44.1,43.1,133,176,43.9,91.9,125,76.5,0,0,31.7,97.3,90.3,98.5,110,176,142,122,0,92.8,57.5,75.2,5.76,96.1,2.07,0,65.3
"2,4-Dichlorophenol","120-83-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Dimethylnaphthalene","581-42-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Chloro-3,5-dimethylphenol","88-04-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,0,29.3,0,0,0,51.3,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Chlorophenol","106-48-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Methoxyphenol","150-76-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0,0,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Tert-butylphenol","98-54-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465
"A-Ionone","127-41-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.1,0,0,0,0,0,0,0,0,0,0,0,0
"Acenaphthene","83-32-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,14.1,10.6,0,26.6,9.71,0,0,0,5.13,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acenaphthylene","208-96-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
