ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
70,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,1-methylphenanthrene,40,J,ng/WB
303291,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,"2,4-bis(alpha,alpha-dimethylbenzyl)phenol",200,,ng/WB
303293,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,"2,4-di-tert-butylphenol",2100,,ng/WB
247,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,anthracene,120,,ng/WB
303000,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,b-Ionone,330,,ng/WB
301134,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzophenone,2000,,ng/WB
303324,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzothiazole,1500,,ng/WB
301479,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzyl benzoate,9400,,ng/WB
302998,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzyl cinnamate,4500,,ng/WB
303004,MyExposome,756,18FEB02-04,2/2/2018 2:22:00 PM,9/29/2018 10:21:05 AM,,,165250 (2784),A171701,Dartmouth,12/7/2017 10:05:00 AM,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,benzyl salicylate,4800,,ng/WB
