ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
69,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,1-methylnaphthalene,18,J,ng/WB
302999,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,amyl cinnamal,1100,,ng/WB
303324,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzothiazole,500,,ng/WB
301479,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzyl benzoate,9600,,ng/WB
303004,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,benzyl salicylate,13000,,ng/WB
283,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Butyl benzyl phthalate,3800,,ng/WB
303220,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,16000,,ng/WB
429,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,14000,,ng/WB
301673,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-nonyl phthalate,2200,,ng/WB
301502,MyExposome,575,17JUN19-01,6/19/2017 0:00,9/14/2018 12:33,,,164994,A170298,MyExposome,5/26/2017 14:30,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,9100,,ng/WB
