ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
303291,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,"2,4-bis(alpha,alpha-dimethylbenzyl)phenol",3000,,ng/WB
303293,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,"2,4-di-tert-butylphenol",7500,,ng/WB
302999,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,amyl cinnamal,1100,,ng/WB
247,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,anthracene,290,,ng/WB
303000,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-Ionone,1200,,ng/WB
301134,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzophenone,5200,,ng/WB
301479,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzyl benzoate,110000,,ng/WB
303004,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,benzyl salicylate,130000,,ng/WB
293,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Bis(2-ethylhexyl)phthalate,1100000,,ng/WB
283,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butyl benzyl phthalate,16000,,ng/WB
303220,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,1700,,ng/WB
303006,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,cinnamal,230,,ng/WB
302992,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Coumarin,580,,ng/WB
429,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,44000,,ng/WB
301673,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Di-n-nonyl phthalate,22000,,ng/WB
462,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diethyl phthalate,31000,,ng/WB
301502,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,15000,,ng/WB
301669,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Ethofenprox,3900,,ng/WB
302981,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Ethylene brassylate,56000,,ng/WB
302850,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Galaxolide,140000,,ng/WB
303009,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,lilial,6500,,ng/WB
301011,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,PCB 94,360,,ng/WB
956,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Permethrin,1200,,ng/WB
1037,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,TPP,670,,ng/WB
69,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,1-methylnaphthalene,72,,ng/WB
303293,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,"2,4-di-tert-butylphenol",1200,,ng/WB
247,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,anthracene,190,,ng/WB
303000,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-Ionone,15000,,ng/WB
303324,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzothiazole,540,,ng/WB
303004,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,benzyl salicylate,730000,,ng/WB
283,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butyl benzyl phthalate,99000,,ng/WB
301114,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butylated hydroxyanisole,2300,,ng/WB
303220,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,4000,,ng/WB
302992,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Coumarin,3100,,ng/WB
429,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,21000,,ng/WB
462,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diethyl phthalate,4200,,ng/WB
301502,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,30000,,ng/WB
302981,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Ethylene brassylate,120000,,ng/WB
301558,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Fipronil,550,,ng/WB
302850,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Galaxolide,110000,,ng/WB
303009,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,lilial,92000,,ng/WB
301749,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Methoprene II,67000,,ng/WB
300641,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,"N,N-Diethyl-m-toluamide",8300,,ng/WB
595,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,naphthalene,210,,ng/WB
302170,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,TCPP,1900,,ng/WB
301505,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,163075,A190330,MyExposome,,,WB Size: Regular,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Tonalide,200,,ng/WB
69,MyExposome,945,19MAR27-01,3/27/2019 15:50,7/1/2019 11:53,,-1,,164791,A190331,MyExposome,,,WB Size: Large,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,1-methylnaphthalene,40,J,ng/WB
