ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
303291,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,"2,4-bis(alpha,alpha-dimethylbenzyl)phenol",3000,,ng/WB
303293,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,"2,4-di-tert-butylphenol",7500,,ng/WB
302999,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,amyl cinnamal,1100,,ng/WB
247,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,anthracene,290,,ng/WB
303000,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-Ionone,1200,,ng/WB
301134,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzophenone,5200,,ng/WB
301479,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzyl benzoate,110000,,ng/WB
303004,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,benzyl salicylate,130000,,ng/WB
293,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Bis(2-ethylhexyl)phthalate,1100000,,ng/WB
283,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butyl benzyl phthalate,16000,,ng/WB
303220,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,1700,,ng/WB
303006,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,cinnamal,230,,ng/WB
302992,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Coumarin,580,,ng/WB
429,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,44000,,ng/WB
301673,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Di-n-nonyl phthalate,22000,,ng/WB
462,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diethyl phthalate,31000,,ng/WB
301502,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,15000,,ng/WB
301669,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Ethofenprox,3900,,ng/WB
302981,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Ethylene brassylate,56000,,ng/WB
302850,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Galaxolide,140000,,ng/WB
303009,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,lilial,6500,,ng/WB
301011,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,PCB 94,360,,ng/WB
956,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Permethrin,1200,,ng/WB
1037,MyExposome,945,19MAR27-01,3/27/2019 15:50,6/27/2019 17:10,,-1,,162070,A190329,MyExposome,,,Small,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,TPP,670,,ng/WB
