ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
303319,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,4-tert-butylphenol,280,,ng/WB
302990,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-citronellol,490,,ng/WB
303000,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-Ionone,110,,ng/WB
301479,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzyl benzoate,3400,,ng/WB
303004,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,benzyl salicylate,3400,,ng/WB
293,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Bis(2-ethylhexyl)phthalate,110000,,ng/WB
283,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butyl benzyl phthalate,1000,,ng/WB
301114,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butylated hydroxyanisole,80,J,ng/WB
303220,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,130,,ng/WB
429,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,6200,,ng/WB
301502,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,7100,,ng/WB
302850,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Galaxolide,2400,,ng/WB
956,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Permethrin,1200,,ng/WB
301758,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Permethrin II,1300,,ng/WB
301505,MyExposome,1040,19NOV12-03,11/12/2019 14:51,1/22/2020 14:46,,-1,,UCSF 9001,A191810,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Tonalide,960,,ng/WB
