ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
303293,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,"2,4-di-tert-butylphenol",440,J,ng/WB
303313,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,"4-chloro-3,5-dimethylphenol",1400,J,ng/WB
302990,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,b-citronellol,780,J,ng/WB
301134,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzophenone,10000,J,ng/WB
301479,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzyl benzoate,55000,J,ng/WB
303004,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,benzyl salicylate,5100,J,ng/WB
293,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Bis(2-ethylhexyl)phthalate,350000,J,ng/WB
301114,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Butylated hydroxyanisole,750,J,ng/WB
429,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-butyl phthalate,14000,J,ng/WB
301673,MyExposome,1170,21JAN22-01,1/22/2021 9:51,3/10/2021 9:52,,-1,,RSM-001,A210058,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-nonyl phthalate,3700,J,ng/WB
