ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units 
34,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,"1,2-Dibromo-3-chloropropane",<4.48,U,ng/g
170,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,"4,4'-DDD",<0.95,U,ng/g
171,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,"4,4'-DDE",<0.39,U,ng/g
172,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,"4,4'-DDT",<0.27,U,ng/g
301698,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,acetamiprid,<3.11,U,ng/g
224,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,Alachlor,<1.32,U,ng/g
228,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,Aldrin,<2.63,U,ng/g
231,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,alpha-BHC,<0.10,U,ng/g
232,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,alpha-Chlordane,<0.27,U,ng/g
255,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,Atrazine,<3.52,U,ng/g
286,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,beta-BHC,<0.21,U,ng/g
300237,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,Bifenthrin,<0.88,U,ng/g
351,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,Captafol,<3.22,U,ng/g
352,MyExposome,1179,21FEB05-01,2/5/2021 15:41,6/30/2021 12:14,,-1,,OTH_1121,A210311,MyExposome,,,,PSD-Wristband,Pesticides and Organochlorine Compounds by GC-ECD,GC-ECD - 75 Pesticides-Mass (ng/g) 2020,SOP 404.06,Organics - Dilution,Captan,<10.9,U,ng/g
