Participant_Name,Other_ID,FSES_ID,Date_start,Date_end,Start_time,Stop_time,Start,End,MyE_Received,Days_worn,week_factor,size,size_factor
P1-849-1,,A190350,10/18/2018,10/25/2018,8:40,8:43,10/18/2018 8:40,10/25/2018 8:43,N/A,7,1,small,3.74
P2-ES-875,,A190351,10/29/2018,11/5/2018,7:47,8:40,10/29/2018 7:47,11/5/2018 8:40,N/A,7,1.01,small,3.74
P3-ES-879,,A190352,10/29/2018,11/5/2018,7:53,8:41,10/29/2018 7:53,11/5/2018 8:41,N/A,7,1,small,3.74
P4-ES-889,,A190353,10/29/2018,11/5/2018,7:58,8:49,10/29/2018 7:58,11/5/2018 8:49,N/A,7,1.01,small,3.74
P5-ES-874,,A190354,10/29/2018,11/5/2018,8:04,8:45,10/29/2018 8:04,11/5/2018 8:45,N/A,7,1,small,3.74
P6-ES-863,,A190355,11/8/2018,11/15/2018,7:16,11:49,11/8/2018 7:16,11/15/2018 11:49,N/A,7.2,1.03,small,3.74
P7-ES-865,,A190356,11/8/2018,11/15/2018,7:20,11:33,11/8/2018 7:20,11/15/2018 11:33,N/A,7.2,1.03,small,3.74
P8-ES-793,,A190357,11/8/2018,11/15/2018,9:12,11:26,11/8/2018 9:12,11/15/2018 11:26,N/A,7.1,1.01,small,3.74
P9-ES-866,,A190358,11/8/2018,11/15/2018,9:09,11:40,11/8/2018 9:09,11/15/2018 11:40,N/A,7.1,1.01,small,3.74
P10-ES-869,,A190359,11/8/2018,11/15/2018,9:28,12:35,11/8/2018 9:28,11/15/2018 12:35,N/A,7.1,1.02,small,3.74
