ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
34,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,"1,2-Dibromo-3-chloropropane",<4.49,U,ng/g
170,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,"4,4'-DDD",<0.946,U,ng/g
171,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,"4,4'-DDE",<0.388,U,ng/g
172,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,"4,4'-DDT",<0.268,U,ng/g
301698,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,acetamiprid,<3.11,U,ng/g
224,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,Alachlor,<1.32,U,ng/g
228,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,Aldrin,<2.62,U,ng/g
231,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,alpha-BHC,<0.0983,U,ng/g
232,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,alpha-Chlordane,<0.271,U,ng/g
255,MyExposome,1091,20MAR16-03,3/16/2020 9:58:00 AM,8/25/2020 2:29:25 PM,,-1,,DCA_1103,A200555,My Exposome,,,,PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,Atrazine,<3.51,U,ng/g
