ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
69,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,1-methylnaphthalene,9,J,ng/WB
302990,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,b-citronellol,85,J,ng/WB
301134,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzophenone,70,J,ng/WB
301479,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzyl benzoate,50,J,ng/WB
293,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Bis(2-ethylhexyl)phthalate,670,B,ng/WB
303220,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,butylated hydroxytoluene,250,,ng/WB
412,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,d-Limonene,230,,ng/WB
429,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-butyl phthalate,640,B,ng/WB
301502,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Diisobutyl phthalate,230,,ng/WB
302989,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Linalool,110,J,ng/WB
300391,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E1,A231969,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,retene,50,J,ng/WB
69,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E2,A231970,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,1-methylnaphthalene,8,J,ng/WB
302990,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E2,A231970,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,b-citronellol,82,J,ng/WB
301134,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E2,A231970,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzophenone,10,J,ng/WB
301479,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E2,A231970,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzyl benzoate,42,J,ng/WB
293,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E2,A231970,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Bis(2-ethylhexyl)phthalate,480,B,ng/WB
412,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E2,A231970,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,d-Limonene,180,,ng/WB
302989,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH001_E2,A231970,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Linalool,130,J,ng/WB
69,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,1-methylnaphthalene,17,J,ng/WB
303313,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,"4-chloro-3,5-dimethylphenol",63,J,ng/WB
302990,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,b-citronellol,91,J,ng/WB
301134,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzophenone,91,J,ng/WB
293,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Bis(2-ethylhexyl)phthalate,520,B,ng/WB
303006,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,cinnamal,45,J,ng/WB
412,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,d-Limonene,230,,ng/WB
429,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-butyl phthalate,86,JB,ng/WB
462,MyExposome,1434,23JUL31-02,7/31/2023 13:17,12/4/2023 11:29,,-1,,ETCH002_E1,A231971,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Diethyl phthalate,230,B,ng/WB
