ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
303319,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,4-tert-butylphenol,440,,ng/WB
302999,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,amyl cinnamal,2400,,ng/WB
302990,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-citronellol,980,,ng/WB
303000,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-Ionone,260,,ng/WB
301134,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzophenone,1000,,ng/WB
301479,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzyl benzoate,16000,,ng/WB
303004,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,benzyl salicylate,62000,,ng/WB
293,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Bis(2-ethylhexyl)phthalate,5300,,ng/WB
283,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butyl benzyl phthalate,12000,,ng/WB
301114,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butylated hydroxyanisole,490,,ng/WB
303220,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,2600,,ng/WB
301493,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Caffeine,950,,ng/WB
302994,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Citral A,290,,ng/WB
302992,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Coumarin,1100,,ng/WB
429,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,53000,,ng/WB
462,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diethyl phthalate,44000,,ng/WB
301502,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,23000,,ng/WB
302981,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Ethylene brassylate,21000,,ng/WB
302850,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Galaxolide,60000,,ng/WB
303005,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,hydroxy-citronellal,2500,,ng/WB
303009,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,lilial,6000,,ng/WB
301537,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Musk Ketone,6800,,ng/WB
300641,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,"N,N-Diethyl-m-toluamide",9100,,ng/WB
302170,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,TCPP,1500,,ng/WB
301505,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-001,A190639,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Tonalide,2700,,ng/WB
303281,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-002,A190640,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,4-isopropylphenol,84,J,ng/WB
302999,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-002,A190640,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,amyl cinnamal,3200,,ng/WB
302990,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-002,A190640,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-citronellol,760,,ng/WB
303000,MyExposome,963,19JUN17-02,6/17/2019 14:42,1/9/2020 14:00,,-1,,FR-EMS-002,A190640,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-Ionone,850,,ng/WB
