ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
27,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,2,3-Trichlorobenzene",<0.16,U,ng/g
30,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,2,3-Trimethylbenzene",<0.16,U,ng/g
32,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,2,4-Trichlorobenzene",<0.16,U,ng/g
33,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,2,4-Trimethylbenzene",<0.16,U,ng/g
300387,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,2-dimethylnaphthalene",<0.02,U,ng/g
45,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,3,5-Trimethylbenzene",<0.15,U,ng/g
48,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,3-Dichlorobenzene",<0.15,U,ng/g
301765,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,3-dimethylnaphthalene",<0.02,U,ng/g
302096,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,4-dimethylnaphthalene",<0.03,U,ng/g
302097,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,5-dimethylnaphthalene",<0.04,U,ng/g
300386,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,6-dimethylnaphthalene",<0.02,U,ng/g
302095,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"1,8-dimethylnaphthalene",<0.02,U,ng/g
69,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,1-methylnaphthalene,62.4,B,ng/g
70,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,1-methylphenanthrene,<0.17,U,ng/g
300392,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,1-methylpyrene,<0.03,U,ng/g
300315,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"2,3-dimethylanthracene",<1.56,U,ng/g
300685,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"2,6-dimethylnaphthalene",<0.02,U,ng/g
136,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,2-Chlorotoluene,<0.16,U,ng/g
301863,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,2-Ethylanthraquinone,<1.18,U,ng/g
300390,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,2-methylanthracene,<0.96,U,ng/g
146,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,2-methylnaphthalene,123,B,ng/g
300389,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,2-methylphenanthrene,<0.02,U,ng/g
300317,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,2/20/2020 4:46:39 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,VOC and SVOC by Thermal Desorption,GC-MS - VOPAH 2019 (ng/g) (pending),SOP 430.00 VOCs and SVOCs,Organics - Dilution,"3,6-dimethylphenanthrene",<0.13,U,ng/g
