ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
300387,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"1,2-dimethylnaphthalene",<0.21,U,ng/g
302096,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"1,4-dimethylnaphthalene",<0.28,U,ng/g
302097,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"1,5-dimethylnaphthalene",<0.26,U,ng/g
303503,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"1,6 and 1,3-Dimethylnaphthalene",<0.18,U,ng/g
302095,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"1,8-dimethylnaphthalene",<0.18,U,ng/g
69,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,1-methylnaphthalene,79.4,JB,ng/g
70,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,1-methylphenanthrene,<0.24,U,ng/g
300392,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,1-methylpyrene,<0.08,U,ng/g
300315,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"2,3-dimethylanthracene",<0.08,U,ng/g
302101,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"2,6-diethylnaphthalene",<0.18,U,ng/g
300685,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"2,6-dimethylnaphthalene",67.4,JB,ng/g
302100,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,2-ethylnaphthalene,<0.22,U,ng/g
300390,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,2-methylanthracene,<0.10,U,ng/g
146,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,2-methylnaphthalene,116,JB,ng/g
300389,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,2-methylphenanthrene,38.9,J,ng/g
300317,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"3,6-dimethylphenanthrene",<0.09,U,ng/g
302298,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,5-methylchrysene,<0.37,U,ng/g
201,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,6-methylchrysene,<0.20,U,ng/g
202,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"7,12-dimethylbenz[a]anthracene",<0.21,U,ng/g
300316,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,"9,10-dimethylanthracene",<0.19,U,ng/g
300312,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,9-methylanthracene,<0.19,U,ng/g
208,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,acenaphthene,<0.24,U,ng/g
210,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,acenaphthylene,<0.52,U,ng/g
300503,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,anthanthrene,<0.07,U,ng/g
247,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,anthracene,<0.23,U,ng/g
272,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benz[a]anthracene,<0.17,U,ng/g
302301,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benz[j] and [e]aceanthrylene,<,U,ng/g
300335,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[a]chrysene,<0.16,U,ng/g
302299,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[a]fluorene,<0.37,U,ng/g
273,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[a]pyrene,<0.26,U,ng/g
275,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[b]fluoranthene,28.6,J,ng/g
302300,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[b]fluorene,<0.37,U,ng/g
300334,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[b]perylene,<0.37,U,ng/g
300505,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[c]fluorene,<0.07,U,ng/g
276,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[e]pyrene,<0.16,U,ng/g
277,MyExposome,1000,19AUG09-01,8/9/2019 8:56:00 AM,8/25/2020 2:21:15 PM,,-1,,JPA_0813,A191134,SGO,8/7/2019 12:00:00 AM,,,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,GC-QQQ - 63 PAHs - Mass (ng/g) 2019,SOP 418.00,Organics - Dilution,benzo[ghi]perylene,19.1,J,ng/g
