ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
303001,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,a-Ionone,470,,ng/WB
303000,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,b-Ionone,1200,,ng/WB
301479,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Benzyl benzoate,7900,,ng/WB
303004,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,benzyl salicylate,42000,,ng/WB
293,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Bis(2-ethylhexyl)phthalate,120000,,ng/WB
283,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butyl benzyl phthalate,1600,,ng/WB
301114,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Butylated hydroxyanisole,120,J,ng/WB
303220,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,65,J,ng/WB
301449,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Cashmeran,1800,,ng/WB
302992,MyExposome,1010,19AUG27-02,8/27/2019 12:34,1/22/2020 14:46,,-1,,A000009YC,A191383,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.00,Organics - Dilution,Coumarin,440,,ng/WB
