ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
302999,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,amyl cinnamal,4500,,ng/WB
302990,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,b-citronellol,240,,ng/WB
301134,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzophenone,190,,ng/WB
303004,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,benzyl salicylate,17000,,ng/WB
293,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Bis(2-ethylhexyl)phthalate,390000,,ng/WB
283,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Butyl benzyl phthalate,4000,,ng/WB
303220,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,butylated hydroxytoluene,520,,ng/WB
429,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-butyl phthalate,13000,,ng/WB
301673,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-nonyl phthalate,3400,,ng/WB
430,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-octyl phthalate,490,,ng/WB
462,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Diethyl phthalate,2100,,ng/WB
301502,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Diisobutyl phthalate,28000,,ng/WB
302981,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Ethylene brassylate (Musk NN),21000,,ng/WB
301488,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Exaltolide [15-Pentadecanolide],4400,,ng/WB
302850,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Galaxolide,5800,,ng/WB
303009,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,lilial,840,,ng/WB
301505,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Tonalide,1600,,ng/WB
1037,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFD,A200653,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,TPP,3300,,ng/WB
303000,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,b-Ionone,330,,ng/WB
301134,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzophenone,380,,ng/WB
301479,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzyl benzoate,12000,,ng/WB
303004,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,benzyl salicylate,4200,,ng/WB
293,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Bis(2-ethylhexyl)phthalate,220000,J,ng/WB
283,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Butyl benzyl phthalate,5200,,ng/WB
303220,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,butylated hydroxytoluene,1400,,ng/WB
429,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-butyl phthalate,17000,,ng/WB
301673,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-nonyl phthalate,8300,,ng/WB
430,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-octyl phthalate,7200,,ng/WB
301398,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Dicyclohexyl phthalate,2100,,ng/WB
462,MyExposome,1106,20JUN22-02,6/22/2020 14:34,7/30/2020 10:13,,-1,,A00000LFH,A200654,MyExposome,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Diethyl phthalate,2700,,ng/WB
