ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
301134,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzophenone,1100,,ng/WB
303324,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzothiazole,180,,ng/WB
303004,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,benzyl salicylate,33000,,ng/WB
293,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Bis(2-ethylhexyl)phthalate,79000,B,ng/WB
283,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Butyl benzyl phthalate,1900,,ng/WB
301114,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Butylated hydroxyanisole,1400,,ng/WB
303220,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,butylated hydroxytoluene,7900,B,ng/WB
301493,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Caffeine,770,,ng/WB
303006,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,cinnamal,46,J,ng/WB
302994,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Citral A,710,,ng/WB
302992,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Coumarin,760,,ng/WB
429,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-butyl phthalate,9000,B,ng/WB
301673,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-nonyl phthalate,610,,ng/WB
430,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-octyl phthalate,18000,,ng/WB
462,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Diethyl phthalate,0,JB,ng/WB
301502,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Diisobutyl phthalate,6800,,ng/WB
303219,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,drometrizole,160,,ng/WB
302981,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Ethylene brassylate (Musk NN),31000,,ng/WB
301488,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Exaltolide [15-Pentadecanolide],13000,,ng/WB
302850,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Galaxolide,6500,,ng/WB
303009,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,lilial,4700,,ng/WB
300641,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,"N,N-Diethyl-m-toluamide",1400,,ng/WB
595,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,naphthalene,0,JB,ng/WB
301758,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Permethrin II,200,,ng/WB
302170,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,TCPP,530,,ng/WB
301505,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Tonalide,450,,ng/WB
301429,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWH,A211299,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Triethyl phosphate,150,J,ng/WB
302990,MyExposome,1241,21OCT12-01,10/12/2021 15:36,12/16/2021 10:32,,-1,,A000CGWD,A211300,My Exposome,,,,PSD-Wristband,MASIV-1500 analyte method,BG Corr RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,b-citronellol,870,,ng/WB
