ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
303293,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,"2,4-di-tert-butylphenol",410,B,ng/WB
302999,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,amyl cinnamal,370,,ng/WB
247,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,anthracene,120,,ng/WB
301134,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Benzophenone,1000,,ng/WB
303004,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,benzyl salicylate,3200,,ng/WB
293,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Bis(2-ethylhexyl)phthalate,890,B,ng/WB
283,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Butyl benzyl phthalate,1200,,ng/WB
303220,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,butylated hydroxytoluene,280,,ng/WB
302992,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Coumarin,270,,ng/WB
429,MyExposome,1251,21DEC21-01,12/21/2021 12:32,3/18/2022 15:01,,-1,,22254,A211733,MyExposome,,,,PSD-Wristband,MASV15 -1530 analyte method,GC-MS - RTL DRS Screening - MASV15,SOP 428.02,Organics - Dilution,Di-n-butyl phthalate,7900,B,ng/WB
