ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
301625,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Bis(2-butoxyethyl) phthalate,<0.01,U,ng/g
308211,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Bis(2-ethoxyethyl) phthalate,<0.01,U,ng/g
308448,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Bis(2-ethylhexyl) isophthalate,<0.01,U,ng/g
293,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Bis(2-ethylhexyl)phthalate,6210,B,ng/g
308185,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,bis(2-ethylhexyl)terephthalate,20700,,ng/g
308195,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,bis(2-Methoxyethyl)phthalate,<0.01,U,ng/g
308605,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Bis(2-propylheptyl) phthalate,<0.01,U,ng/g
308184,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Bis(4-methylpentyl)phthalate,<0.01,U,ng/g
283,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Butyl benzyl phthalate,<0.03,U,ng/g
426,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Di(2-ethylhexyl)adipate,3270,,ng/g
429,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Di-n-butyl phthalate,1100,,ng/g
301606,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Di-n-hexyl phthalate,<0.03,U,ng/g
301673,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Di-n-nonyl phthalate,8560,,ng/g
430,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Di-n-octyl phthalate,<0.03,U,ng/g
301166,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Di-n-propyl phthalate,<0.01,U,ng/g
308187,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Diallyl phthalate,<0.01,U,ng/g
301315,MyExposome,1527,24JUL22-02,7/22/2024 14:10,10/3/2024 13:55,,-1,,22254,A240945,MyExposome,,,,PSD-Wristband,Phthalates by GC-MS,GC-MS - Phthalates - Mass (ug/g) 2022,SOP 432.00,Organics - Dilution,Diamyl phthalate,<0.01,U,ng/g
