ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,MinutesDeployed,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
34,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,"1,2-Dibromo-3-chloropropane",3.76,U,ng/g
170,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,"4,4'-DDD",0.791,U,ng/g
171,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,"4,4'-DDE",0.324,U,ng/g
172,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,"4,4'-DDT",0.224,U,ng/g
301698,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,acetamiprid,2.6,U,ng/g
224,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,Alachlor,1.1,U,ng/g
228,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,Aldrin,2.2,U,ng/g
231,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,alpha-BHC,0.0822,U,ng/g
232,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,alpha-Chlordane,0.227,U,ng/g
255,MyExposome,791,18MAY08-02,5/8/2018 10:52,2/15/2019 15:36,,-1,,113-0710,A180359,MYEXPOSOME,,,"Upon inspection, the lid containing the sample was loose - JDS 1/22/2019",PSD-Wristband,Determination of Pesticides by GC/ECD,Pesticides - WB MassCorr ng/g 2016,SOP 404.06,Organics - Dilution,Atrazine,2.93,U,ng/g
