Submitted to client,Batch_Num,Lab_Submission_Batch,Ready_to_analyze,Participant_ID,Other_ID,FSES_ID,Date_start,Date_end,Start_time,Stop_time,Start,End,MyE_Received,Days_worn,week_factor,size,size_factor,Other,WB lot,
,1,,yes - X/X/X,22254,,A211733,9/7/2021,9/15/2021,11:30,11:30,9/7/2021 11:30,9/15/2021 11:30,12/20/2021,8.0,1.14,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,23609,,A211734,10/20/2021,10/29/2021,10:27,9:06,10/20/2021 10:27,10/29/2021 9:06,12/20/2021,8.9,1.28,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,30998,,A211735,10/22/2021,10/29/2021,9:00,16:00,10/22/2021 9:00,10/29/2021 16:00,12/20/2021,7.3,1.04,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,33185,,A211736,11/27/2020,12/7/2020,12:00,11:00,11/27/2020 12:00,12/7/2020 11:00,12/20/2021,10.0,1.42,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,34090,,A211737,12/1/2021,12/10/2021,13:00,11:00,12/1/2021 13:00,12/10/2021 11:00,12/20/2021,8.9,1.27,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,36589,,A211738,9/2/2021,9/10/2021,11:30,11:30,9/2/2021 11:30,9/10/2021 11:30,12/20/2021,8.0,1.14,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,39087,,A211739,8/4/2021,8/11/2021,12:55,13:20,8/4/2021 12:55,8/11/2021 13:20,12/20/2021,7.0,1.00,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,42567,,A211740,10/12/2021,10/21/2021,13:02,11:07,10/12/2021 13:02,10/21/2021 11:07,12/20/2021,8.9,1.27,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,42907,,A211741,10/30/2021,11/6/2021,10:45,10:28,10/30/2021 10:45,11/6/2021 10:28,12/20/2021,7.0,1.00,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,44705,,A211742,11/11/2020,11/20/2020,10:00,12:00,11/11/2020 10:00,11/20/2020 12:00,12/20/2021,9.1,1.30,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,50124,,A211743,6/14/2021,6/21/2021,14:15,12:00,6/14/2021 14:15,6/21/2021 12:00,12/20/2021,6.9,0.99,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,53475,,A211744,7/1/2021,7/9/2021,9:54,8:00,7/1/2021 9:54,7/9/2021 8:00,12/20/2021,7.9,1.13,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,55479,,A211745,7/30/2021,8/6/2021,10:30,11:55,7/30/2021 10:30,8/6/2021 11:55,12/20/2021,7.1,1.01,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,65866,,A211746,7/15/2021,7/23/2021,7:51,7:02,7/15/2021 7:51,7/23/2021 7:02,12/20/2021,8.0,1.14,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,66440,,A211747,8/9/2021,8/18/2021,11:00,14:00,8/9/2021 11:00,8/18/2021 14:00,12/20/2021,9.1,1.30,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,67704,,A211748,2/24/2021,3/4/2021,11:00,11:00,2/24/2021 11:00,3/4/2021 11:00,12/20/2021,8.0,1.14,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,77542,,A211749,11/12/2021,11/19/2021,12:00,14:00,11/12/2021 12:00,11/19/2021 14:00,12/20/2021,7.1,1.01,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,79175,,A211750,11/23/2020,12/3/2020,12:00,9:00,11/23/2020 12:00,12/3/2020 9:00,12/20/2021,9.9,1.41,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,80177,,A211751,6/16/2021,6/25/2021,12:11,11:13,6/16/2021 12:11,6/25/2021 11:13,12/20/2021,9.0,1.28,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,83613,,A211752,6/1/2021,6/11/2021,10:00,13:00,6/1/2021 10:00,6/11/2021 13:00,12/20/2021,10.1,1.45,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,86882,,A211753,11/19/2020,11/27/2020,10:00,11:00,11/19/2020 10:00,11/27/2020 11:00,12/20/2021,8.0,1.15,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,89409,,A211754,6/29/2021,7/7/2021,10:00,10:43,6/29/2021 10:00,7/7/2021 10:43,12/20/2021,8.0,1.15,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,93403,,A211755,3/17/2021,3/25/2021,11:00,11:00,3/17/2021 11:00,3/25/2021 11:00,12/20/2021,8.0,1.14,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,98914,,A211756,9/27/2021,10/5/2021,15:25,11:14,9/27/2021 15:25,10/5/2021 11:14,12/20/2021,7.8,1.12,REG,4.76,,19AUG07-02,
,1,,yes - X/X/X,99359,,A211757,10/8/2021,10/15/2021,10:00,10:57,10/8/2021 10:00,10/15/2021 10:57,12/20/2021,7.0,1.01,REG,4.76,,19AUG07-02,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
