Submitted to client,Batch_Num,Lab_Submission_Batch,Ready_to_analyze,Participant_ID,Other_ID,FSES_ID,Date_start,Date_end,Start_time,Stop_time,Start,End,MyE_Received,Days_worn,week_factor,size,size_factor,Other,WB lot,
,1,PO236,yes - X/X/X,BR1002,230698,A211685,11/6/2021,11/13/2021,9:40,13:18,11/6/2021 9:40,11/13/2021 13:18,12/11/2021,7.2,1.02,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1006,230792,A211686,11/6/2021,11/13/2021,11:24,14:35,11/6/2021 11:24,11/13/2021 14:35,12/11/2021,7.1,1.02,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1010,230760,A211687,11/6/2021,11/13/2021,10:20,13:45,11/6/2021 10:20,11/13/2021 13:45,12/11/2021,7.1,1.02,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1011,230761,A211688,11/6/2021,11/13/2021,10:45,13:55,11/6/2021 10:45,11/13/2021 13:55,12/11/2021,7.1,1.02,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1013,230782,A211689,11/6/2021,11/13/2021,11:38,14:10,11/6/2021 11:38,11/13/2021 14:10,12/11/2021,7.1,1.02,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1032,330643,A211690,11/6/2021,11/13/2021,13:38,15:10,11/6/2021 13:38,11/13/2021 15:10,12/11/2021,7.1,1.01,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1037,330827,A211691,11/6/2021,11/13/2021,13:05,15:25,11/6/2021 13:05,11/13/2021 15:25,12/11/2021,7.1,1.01,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1052,330663,A211692,11/6/2021,11/13/2021,12:40,14:55,11/6/2021 12:40,11/13/2021 14:55,12/11/2021,7.1,1.01,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1062,433673,A211693,11/4/2021,11/11/2021,10:23,10:50,11/4/2021 10:23,11/11/2021 10:50,12/11/2021,7.0,1.00,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1063,433675,A211694,11/4/2021,11/11/2021,10:02,10:37,11/4/2021 10:02,11/11/2021 10:37,12/11/2021,7.0,1.00,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1130,131051,A211695,11/8/2021,11/15/2021,9:00,10:15,11/8/2021 9:00,11/15/2021 10:15,12/11/2021,7.1,1.01,SM,3.74,,18JUL1701,
,1,PO236,yes - X/X/X,BR1131,131044,A211696,11/8/2021,11/15/2021,9:30,10:04,11/8/2021 9:30,11/15/2021 10:04,12/11/2021,7.0,1.00,SM,3.74,,18JUL02-01,
